bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,2,10,0,medium,True,1,2655,2432,939,0.009972749999999999
002,gpt-5.4,1.0,2,10,0,medium,True,1,2655,0,1084,0.014158749999999998
003,gpt-5.4,1.0,2,10,0,medium,True,1,2654,0,3220,0.0355175
004,gpt-5.4,1.0,2,10,0,medium,True,1,2653,0,3328,0.03659625
005,gpt-5.4,1.0,2,10,0,medium,True,1,2655,0,2349,0.026808749999999996
006,gpt-5.4,1.0,2,10,0,medium,True,1,2655,0,1571,0.019028749999999997
007,gpt-5.4,1.0,2,10,0,medium,True,1,2655,0,1524,0.01855875
008,gpt-5.4,1.0,2,10,0,medium,True,1,2655,0,5518,0.058498749999999995
009,gpt-5.4,1.0,4,10,0,medium,True,2,6581,1792,12855,0.13476024999999997
010,gpt-5.4,1.0,4,10,0,medium,True,2,5992,4224,4419,0.046928
011,gpt-5.4,1.0,2,10,0,medium,True,1,2661,0,521,0.008536249999999999
012,gpt-5.4,1.0,2,10,0,medium,True,1,2664,2432,3622,0.03681399999999999
013,gpt-5.4,1.0,2,10,0,medium,True,1,2664,0,4276,0.04609
014,gpt-5.4,1.0,2,10,0,medium,True,1,2658,0,299,0.006312499999999999
015,gpt-5.4,1.0,4,10,0,medium,True,2,5730,1792,9365,0.09879649999999998
016,gpt-5.4,1.0,4,10,0,medium,True,2,6584,4224,13442,0.13789799999999997
017,gpt-5.4,1.0,2,10,0,medium,True,1,2660,0,533,0.008655
018,gpt-5.4,1.0,4,10,0,medium,False,2,6958,4224,27767,0.2816155
019,gpt-5.4,1.0,4,10,0,medium,False,2,7242,4224,28705,0.2913505
020,gpt-5.4,1.0,4,10,0,medium,True,2,6530,4224,19999,0.20340049999999998
021,gpt-5.4,1.0,4,10,0,medium,False,2,6488,4864,21788,0.220518
022,gpt-5.4,1.0,6,10,0,medium,True,3,11252,7040,25983,0.26597499999999996
