bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,10,0,True,low,True,3,3,6464,5376,1963,0.021662
002,gpt-5.4-nano,1.0,10,0,True,low,True,2,2,3820,3584,1584,0.016583
003,gpt-5.4-nano,1.0,10,0,True,low,False,13,13,38176,27392,19207,0.20897399999999997
004,gpt-5.4-nano,1.0,10,0,True,low,True,10,10,21614,17920,15125,0.1581075
005,gpt-5.4-nano,1.0,10,0,True,low,True,2,2,3820,3584,3396,0.034703
006,gpt-5.4-nano,1.0,10,0,True,low,False,12,12,40029,25856,18890,0.20984825
007,gpt-5.4-nano,1.0,10,0,True,low,True,1,1,1910,0,722,0.009607499999999998
008,gpt-5.4-nano,1.0,10,0,True,low,False,13,13,27601,23296,19808,0.20637324999999995
009,gpt-5.4-nano,1.0,10,0,True,low,False,10,10,55486,27136,16469,0.2035195
010,gpt-5.4-nano,1.0,10,0,True,low,True,7,7,14250,10752,6982,0.07553649999999999
011,gpt-5.4-nano,1.0,10,0,True,low,True,5,5,10209,8960,1950,0.02218125
012,gpt-5.4-nano,1.0,10,0,True,low,False,14,14,44724,26368,17422,0.200461
013,gpt-5.4-nano,1.0,10,0,True,low,False,13,13,57449,38656,18012,0.20844325
014,gpt-5.4-nano,1.0,10,0,True,low,True,1,1,1913,1792,874,0.00911525
015,gpt-5.4-nano,1.0,10,0,True,low,False,8,8,16663,14336,20379,0.20849074999999995
016,gpt-5.4-nano,1.0,10,0,True,low,False,10,10,19998,16128,21732,0.22417349999999997
017,gpt-5.4-nano,1.0,10,0,True,low,True,1,1,1915,1792,808,0.008457749999999998
018,gpt-5.4-nano,1.0,10,0,True,low,False,8,8,16124,12544,19893,0.204973
019,gpt-5.4-nano,1.0,10,0,True,low,False,10,10,27991,20992,19359,0.20496274999999997
020,gpt-5.4-nano,1.0,10,0,True,low,False,9,9,24012,12544,19049,0.20639299999999997
021,gpt-5.4-nano,1.0,10,0,True,low,False,9,9,38512,19200,18318,0.20972
022,gpt-5.4-nano,1.0,10,0,True,low,False,12,12,44089,31744,19210,0.21149924999999997
