bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,1792,3399,0.03529275
002,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,1792,4521,0.04651274999999999
003,gpt-5.4-nano,1.0,2,10,0,high,True,1,2654,1792,9503,0.09633149999999999
004,gpt-5.4-nano,1.0,2,10,0,high,True,1,2653,0,11693,0.12024625
005,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,1792,5460,0.055902749999999994
006,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,1792,5563,0.05693274999999999
007,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,0,6282,0.06613875
008,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,1792,26929,0.27059275
009,gpt-5.4-nano,1.0,2,10,0,high,True,1,2655,1792,17219,0.17349274999999997
010,gpt-5.4-nano,1.0,2,10,0,high,True,1,2656,1792,22622,0.22752399999999998
011,gpt-5.4-nano,1.0,4,10,0,high,True,2,5528,3584,10746,0.11033799999999999
012,gpt-5.4-nano,1.0,2,10,0,high,True,1,2664,1792,16914,0.170454
013,gpt-5.4-nano,1.0,2,10,0,high,True,1,2664,1792,9424,0.09555399999999999
014,gpt-5.4-nano,1.0,2,10,0,high,True,1,2658,1792,2296,0.024266499999999996
015,gpt-5.4-nano,1.0,2,10,0,high,False,1,2659,1792,35522,0.35652775
016,gpt-5.4-nano,1.0,2,10,0,high,False,1,2659,1792,27098,0.27228775
017,gpt-5.4-nano,1.0,2,10,0,high,True,1,2660,1792,2553,0.026839
018,gpt-5.4-nano,1.0,2,10,0,high,False,1,2664,1792,75523,0.756544
019,gpt-5.4-nano,1.0,2,10,0,high,False,1,2664,1792,83103,0.832344
020,gpt-5.4-nano,1.0,2,10,0,high,True,1,2661,1792,39638,0.39769024999999997
021,gpt-5.4-nano,1.0,2,10,0,high,False,1,2662,1792,48044,0.4817515
022,gpt-5.4-nano,1.0,2,10,0,high,False,1,2665,1792,41553,0.41684524999999994
