bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,2,10,0,high,True,1,2655,2304,35280,0.35352674999999995
002,gpt-5.4-mini,1.0,2,10,0,high,True,1,2655,2304,4197,0.04269674999999999
003,gpt-5.4-mini,1.0,2,10,0,high,False,1,2654,2304,34419,0.3449155
004,gpt-5.4-mini,1.0,2,10,0,high,True,1,2653,0,16917,0.17248624999999998
005,gpt-5.4-mini,1.0,4,10,0,high,True,2,5811,4096,27713,0.27978574999999994
006,gpt-5.4-mini,1.0,4,10,0,high,True,2,5658,4096,14756,0.15002449999999998
007,gpt-5.4-mini,1.0,2,10,0,high,True,1,2655,2304,16307,0.16379675
008,gpt-5.4-mini,1.0,2,10,0,high,False,1,2655,2304,62068,0.6214067499999999
009,gpt-5.4-mini,1.0,2,10,0,high,False,1,2655,2304,55643,0.55715675
010,gpt-5.4-mini,1.0,2,10,0,high,True,1,2656,2304,16928,0.170008
011,gpt-5.4-mini,1.0,2,10,0,high,True,1,2661,2304,2287,0.023604249999999997
012,gpt-5.4-mini,1.0,2,10,0,high,True,1,2664,2304,22293,0.22366799999999998
013,gpt-5.4-mini,1.0,2,10,0,high,True,1,2664,2304,20178,0.20251799999999998
014,gpt-5.4-mini,1.0,2,10,0,high,True,1,2658,2304,2346,0.024190499999999997
015,gpt-5.4-mini,1.0,2,10,0,high,False,1,2659,2304,55103,0.5517617499999999
016,gpt-5.4-mini,1.0,2,10,0,high,False,1,2659,2304,44712,0.44785174999999994
017,gpt-5.4-mini,1.0,2,10,0,high,True,1,2660,2304,1320,0.013932999999999997
018,gpt-5.4-mini,1.0,2,10,0,high,False,1,2664,0,94314,0.9464699999999999
019,gpt-5.4-mini,1.0,2,10,0,high,False,1,2664,2304,92389,0.9246279999999999
020,gpt-5.4-mini,1.0,2,10,0,high,False,1,2661,0,76181,0.76513625
021,gpt-5.4-mini,1.0,2,10,0,high,False,1,2662,0,76590,0.7692275
022,gpt-5.4-mini,1.0,2,10,0,high,False,1,2665,2304,64313,0.64386925
