bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,medium,low,5,4,30,0,True,2,True,5,35696,33792,471,0.011314
002,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44085,42112,605,0.013780249999999997
003,gpt-5.4,gpt-5.4,medium,low,13,4,30,0,True,2,True,13,105670,98432,1445,0.0358015
004,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,88643,77824,1907,0.04232174999999999
005,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44203,40960,878,0.01795375
006,gpt-5.4,gpt-5.4,medium,low,25,4,30,0,True,2,True,25,201879,187776,10055,0.14165075
007,gpt-5.4,gpt-5.4,medium,low,7,4,30,0,True,2,True,7,53016,47744,1136,0.023918000000000002
008,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,170928,155776,3185,0.07026199999999999
009,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,170840,157952,2659,0.06244399999999999
010,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,69945,66560,1318,0.025731249999999994
011,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13955,12544,898,0.01231175
012,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,70563,67072,1791,0.030657749999999998
013,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,70575,67712,1868,0.03072275
014,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13894,13312,717,0.0095615
015,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,87846,83584,1344,0.0292155
016,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,87833,83456,851,0.02441325
017,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13982,11392,1189,0.0165515
018,gpt-5.4,gpt-5.4,medium,low,36,4,30,0,True,2,False,36,323147,291328,18250,0.25868975000000005
019,gpt-5.4,gpt-5.4,medium,low,33,4,30,0,True,2,True,33,301274,278400,12334,0.18673249999999994
020,gpt-5.4,gpt-5.4,medium,low,22,4,30,0,True,2,True,22,185754,169728,7458,0.1158285
021,gpt-5.4,gpt-5.4,medium,low,17,4,30,0,True,2,True,17,143987,128128,4346,0.07929974999999999
022,gpt-5.4,gpt-5.4,medium,low,17,4,30,0,True,2,True,17,137353,122624,6760,0.10133924999999999
