bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-nano,medium,medium,5,4,30,0,True,2,True,5,35708,18560,3011,0.053864999999999996
002,gpt-5.4,gpt-5.4-nano,medium,medium,6,4,30,0,True,2,True,6,44085,40320,1420,0.023946249999999995
003,gpt-5.4,gpt-5.4-nano,medium,medium,13,4,30,0,True,2,True,13,105712,90880,3574,0.06563999999999999
004,gpt-5.4,gpt-5.4-nano,medium,medium,11,4,30,0,True,2,True,11,88643,75904,5341,0.07882175
005,gpt-5.4,gpt-5.4-nano,medium,medium,7,4,30,0,True,2,True,7,53159,47232,3476,0.04807275
006,gpt-5.4,gpt-5.4-nano,medium,medium,6,4,30,0,True,2,True,6,44203,39424,1716,0.02806175
007,gpt-5.4,gpt-5.4-nano,medium,medium,7,4,30,0,True,2,True,7,53016,47360,1624,0.02923
008,gpt-5.4,gpt-5.4-nano,medium,medium,24,4,30,0,True,2,True,24,199375,168832,9640,0.15568275
009,gpt-5.4,gpt-5.4-nano,medium,medium,25,4,30,0,True,2,True,25,207916,177792,11481,0.17468900000000004
010,gpt-5.4,gpt-5.4-nano,medium,medium,9,4,30,0,True,2,True,9,69944,63104,10359,0.120028
011,gpt-5.4,gpt-5.4-nano,medium,medium,2,4,30,0,True,2,True,2,10918,8704,412,0.0079755
012,gpt-5.4,gpt-5.4-nano,medium,medium,6,4,30,0,True,2,True,6,44685,40320,4337,0.05386624999999999
013,gpt-5.4,gpt-5.4-nano,medium,medium,7,4,30,0,True,2,True,7,47896,42112,8028,0.09277399999999998
014,gpt-5.4,gpt-5.4-nano,medium,medium,3,4,30,0,True,2,True,3,13894,11520,277,0.0071775
015,gpt-5.4,gpt-5.4-nano,medium,medium,11,4,30,0,True,2,True,11,87846,78080,6210,0.08406749999999999
016,gpt-5.4,gpt-5.4-nano,medium,medium,11,4,30,0,True,2,True,11,87833,70016,4862,0.07964324999999998
017,gpt-5.4,gpt-5.4-nano,medium,medium,2,4,30,0,True,2,True,2,10912,9600,600,0.008839999999999999
018,gpt-5.4,gpt-5.4-nano,medium,medium,17,4,30,0,True,2,False,17,147325,124544,27942,0.32346424999999995
019,gpt-5.4,gpt-5.4-nano,medium,medium,27,4,30,0,True,2,True,27,243103,212096,17341,0.2386807499999999
020,gpt-5.4,gpt-5.4-nano,medium,medium,19,4,30,0,True,2,True,19,163648,139392,11752,0.165264
021,gpt-5.4,gpt-5.4-nano,medium,medium,18,4,30,0,True,2,True,18,153489,131456,9764,0.14161325
022,gpt-5.4,gpt-5.4-nano,medium,medium,17,4,30,0,True,2,True,17,143286,113536,10815,0.1595295
