bench_name,draft_model_name,repair_model_name,draft_reasoning_effort,repair_reasoning_effort,num_completions,max_repair_cycles_per_step,max_total_steps,seed,loop,max_draft_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,287,0.0038084999999999994
002,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,508,0.0060184999999999995
003,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3745,3328,763,0.00856725
004,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3744,3328,1022,0.011156
005,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,990,0.0108385
006,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,957,0.010508499999999999
007,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1123,0.012168499999999999
008,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1652,0.0174585
009,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1609,0.0170285
010,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3747,3328,505,0.005989749999999999
011,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3752,3328,522,0.006166
012,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3755,3328,1449,0.015439749999999999
013,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3755,3328,1135,0.012299749999999998
014,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3749,3328,219,0.0031322499999999996
015,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3750,3328,1402,0.0149635
016,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3750,3328,1306,0.014003499999999999
017,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3751,3328,380,0.004744749999999999
018,gpt-5.4,gpt-5.4,medium,low,2,4,30,0,True,2,True,2,8623,6656,6767,0.07096074999999999
019,gpt-5.4,gpt-5.4,medium,low,2,4,30,0,True,2,True,2,8650,6656,7036,0.07368449999999999
020,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3752,3328,3488,0.035826
021,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3753,3328,4380,0.044747249999999995
022,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3756,3328,2539,0.026341
