bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,10,0,True,high,True,1,1,1910,1792,693,0.0073015
002,gpt-5.4,1.0,10,0,True,high,True,1,1,1910,1792,1540,0.015771499999999997
003,gpt-5.4,1.0,10,0,True,high,True,2,2,4618,3584,5251,0.0542505
004,gpt-5.4,1.0,10,0,True,high,True,1,1,1908,1792,2654,0.026909
005,gpt-5.4,1.0,10,0,True,high,True,2,2,3820,3584,3272,0.03346299999999999
006,gpt-5.4,1.0,10,0,True,high,True,1,1,1910,1792,1007,0.0104415
007,gpt-5.4,1.0,10,0,True,high,True,1,1,1910,1792,1947,0.019841499999999998
008,gpt-5.4,1.0,10,0,True,high,True,2,2,4923,1792,8287,0.08700775
009,gpt-5.4,1.0,10,0,True,high,True,1,1,1910,1792,3014,0.030511499999999997
010,gpt-5.4,1.0,10,0,True,high,True,1,1,1911,1792,1342,0.01379275
011,gpt-5.4,1.0,10,0,True,high,True,1,1,1916,1792,758,0.007958999999999999
012,gpt-5.4,1.0,10,0,True,high,True,1,1,1919,1792,3088,0.03126275
013,gpt-5.4,1.0,10,0,True,high,True,1,1,1919,1792,1925,0.01963275
014,gpt-5.4,1.0,10,0,True,high,True,1,1,1913,1792,328,0.00365525
015,gpt-5.4,1.0,10,0,True,high,True,2,2,4585,3584,9449,0.09618924999999999
016,gpt-5.4,1.0,10,0,True,high,True,1,1,1914,1792,4068,0.041056499999999996
017,gpt-5.4,1.0,10,0,True,high,True,1,1,1915,1792,512,0.005497749999999999
018,gpt-5.4,1.0,10,0,True,high,False,3,3,10714,6400,48483,0.4910224999999999
019,gpt-5.4,1.0,10,0,True,high,False,2,2,3838,1792,22567,0.22845149999999997
020,gpt-5.4,1.0,10,0,True,high,False,3,3,9376,6400,25931,0.26383
021,gpt-5.4,1.0,10,0,True,high,False,3,3,9270,6400,21134,0.21572749999999996
022,gpt-5.4,1.0,10,0,True,high,True,2,2,4880,3584,12552,0.12758799999999998
