bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,6,10,0,low,True,3,9019,6400,6006,0.06413374999999999
002,gpt-5.4-nano,1.0,10,10,0,low,True,5,17317,9216,14489,0.15616824999999998
003,gpt-5.4-nano,1.0,12,10,0,low,False,6,25607,17920,21250,0.22434874999999993
004,gpt-5.4-nano,1.0,12,10,0,low,False,6,25868,18944,19519,0.20621299999999998
005,gpt-5.4-nano,1.0,4,10,0,low,True,2,5702,1792,4059,0.04570149999999999
006,gpt-5.4-nano,1.0,4,10,0,low,True,2,5810,3584,8209,0.0853205
007,gpt-5.4-nano,1.0,12,10,0,low,True,6,22574,14080,16983,0.18220749999999997
008,gpt-5.4-nano,1.0,12,10,0,low,False,6,28523,19968,21861,0.23179974999999997
009,gpt-5.4-nano,1.0,12,10,0,low,False,6,30591,16896,19270,0.21193075
010,gpt-5.4-nano,1.0,8,10,0,low,True,4,12981,9216,11394,0.11979825
011,gpt-5.4-nano,1.0,10,10,0,low,True,5,15978,12032,8854,0.0949765
012,gpt-5.4-nano,1.0,2,10,0,low,True,1,2664,1792,5140,0.052714
013,gpt-5.4-nano,1.0,6,10,0,low,True,3,9426,3584,9799,0.10574049999999999
014,gpt-5.4-nano,1.0,6,10,0,low,True,3,8641,6400,3694,0.040541249999999994
015,gpt-5.4-nano,1.0,10,10,0,low,False,5,23100,13056,23131,0.24549700000000002
016,gpt-5.4-nano,1.0,10,10,0,low,False,5,16575,11008,21383,0.22216475
017,gpt-5.4-nano,1.0,6,10,0,low,True,3,8751,3584,3456,0.04146675
018,gpt-5.4-nano,1.0,10,10,0,low,False,5,18730,13056,22476,0.23348449999999996
019,gpt-5.4-nano,1.0,10,10,0,low,False,5,21051,15104,20552,0.21484175
020,gpt-5.4-nano,1.0,8,10,0,low,False,4,15419,6400,19931,0.21138374999999998
021,gpt-5.4-nano,1.0,10,10,0,low,False,5,18981,13056,19417,0.20320824999999998
022,gpt-5.4-nano,1.0,8,10,0,low,False,4,16204,8192,21047,0.22150899999999996
