bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,4,10,0,low,True,2,5668,4608,1863,0.020530999999999997
002,gpt-5.4-mini,1.0,4,10,0,low,True,2,5735,2304,1785,0.022426749999999995
003,gpt-5.4-mini,1.0,14,10,0,low,False,7,28157,21248,19970,0.21099224999999996
004,gpt-5.4-mini,1.0,14,10,0,low,True,7,29174,22272,17962,0.19103149999999997
005,gpt-5.4-mini,1.0,6,10,0,low,True,3,9382,3584,7493,0.08262549999999999
006,gpt-5.4-mini,1.0,4,10,0,low,True,2,5821,2304,3520,0.039884249999999996
007,gpt-5.4-mini,1.0,8,10,0,low,True,4,13832,6400,8121,0.09129999999999999
008,gpt-5.4-mini,1.0,10,10,0,low,False,5,20760,12544,19537,0.207208
009,gpt-5.4-mini,1.0,14,10,0,low,False,7,32613,24832,20096,0.21379025
010,gpt-5.4-mini,1.0,10,10,0,low,True,5,17303,13056,14525,0.15219074999999999
011,gpt-5.4-mini,1.0,2,10,0,low,True,1,2661,2304,480,0.005534249999999999
012,gpt-5.4-mini,1.0,10,10,0,low,True,5,17673,12032,21286,0.22141525
013,gpt-5.4-mini,1.0,2,10,0,low,True,1,2664,2304,3811,0.038848
014,gpt-5.4-mini,1.0,2,10,0,low,True,1,2658,2304,792,0.0086505
015,gpt-5.4-mini,1.0,8,10,0,low,False,4,13651,6912,19435,0.20363774999999998
016,gpt-5.4-mini,1.0,10,10,0,low,False,5,18303,14080,24509,0.25212874999999996
017,gpt-5.4-mini,1.0,2,10,0,low,True,1,2660,2304,270,0.0034329999999999994
018,gpt-5.4-mini,1.0,10,10,0,low,False,5,18318,8704,18952,0.2026255
019,gpt-5.4-mini,1.0,10,10,0,low,False,5,19949,12800,23899,0.24952624999999998
020,gpt-5.4-mini,1.0,12,10,0,low,False,6,26022,17664,23119,0.2438455
021,gpt-5.4-mini,1.0,8,10,0,low,False,4,14126,8704,20324,0.21110549999999997
022,gpt-5.4-mini,1.0,8,10,0,low,False,4,12857,7680,20996,0.21739124999999998
