bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,344,0.0038114999999999994
002,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,485,0.0052215
003,gpt-5.4,1.0,10,0,True,low,True,2,2,4294,3584,1594,0.0172755
004,gpt-5.4,1.0,10,0,True,low,True,1,1,1908,0,944,0.011824999999999999
005,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,808,0.008451499999999999
006,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,499,0.0053615
007,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,518,0.0055515
008,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,2003,0.0204015
009,gpt-5.4,1.0,10,0,True,low,True,1,1,1910,1792,1992,0.020291499999999997
010,gpt-5.4,1.0,10,0,True,low,True,3,3,7134,5376,2274,0.0256095
011,gpt-5.4,1.0,10,0,True,low,True,1,1,1916,1792,184,0.0022189999999999996
012,gpt-5.4,1.0,10,0,True,low,True,1,1,1919,1792,1413,0.014512749999999998
013,gpt-5.4,1.0,10,0,True,low,True,2,2,4450,1792,1865,0.0221965
014,gpt-5.4,1.0,10,0,True,low,True,1,1,1913,1792,166,0.0020352499999999997
015,gpt-5.4,1.0,10,0,True,low,True,2,2,3828,1792,2757,0.030338999999999994
016,gpt-5.4,1.0,10,0,True,low,True,1,1,1914,1792,2046,0.020836499999999997
017,gpt-5.4,1.0,10,0,True,low,True,1,1,1915,1792,186,0.0022377499999999997
018,gpt-5.4,1.0,10,0,True,low,False,8,8,40023,23808,21687,0.24011475
019,gpt-5.4,1.0,10,0,True,low,False,8,8,39986,28672,19694,0.21466649999999998
020,gpt-5.4,1.0,10,0,True,low,False,6,6,23563,16896,20400,0.21444574999999996
021,gpt-5.4,1.0,10,0,True,low,True,11,11,33757,25856,18073,0.19383825
022,gpt-5.4,1.0,10,0,True,low,True,2,2,4852,3584,5426,0.056292999999999996
