bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1910,1792,9063,0.09100149999999999
002,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1910,1792,4987,0.050241499999999994
003,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1909,1792,24862,0.24899024999999997
004,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1908,1792,5225,0.052619
005,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1910,1792,2337,0.0237415
006,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1910,1792,8279,0.08316149999999999
007,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1910,1792,4886,0.04923149999999999
008,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1910,1792,20241,0.20278149999999998
009,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1910,1792,23072,0.23109149999999998
010,gpt-5.4-mini,1.0,10,0,True,high,False,3,3,7106,1792,31413,0.3209965
011,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1916,1792,2507,0.025449
012,gpt-5.4-mini,1.0,10,0,True,high,True,2,2,4365,3584,28792,0.28934424999999997
013,gpt-5.4-mini,1.0,10,0,True,high,False,3,3,6120,5376,21618,0.21778199999999998
014,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1913,1792,3651,0.036885249999999994
015,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1914,1792,20384,0.2042165
016,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1914,1792,23369,0.23406649999999998
017,gpt-5.4-mini,1.0,10,0,True,high,True,1,1,1915,1792,3245,0.03282775
018,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1919,1792,25870,0.25908275
019,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1919,1792,35903,0.35941274999999995
020,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1916,1792,38068,0.381059
021,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1917,1792,29106,0.29144025
022,gpt-5.4-mini,1.0,10,0,True,high,False,1,1,1920,1792,27221,0.27259399999999995
