bench_name,draft_model_name,repair_model_name,draft_reasoning_effort,repair_reasoning_effort,num_completions,max_repair_cycles_per_step,max_total_steps,seed,loop,max_draft_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,288,0.0038185
002,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,478,0.0057185
003,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3745,3328,729,0.00822725
004,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3744,0,1153,0.01621
005,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1091,0.0118485
006,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1003,0.010968499999999999
007,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1786,0.018798499999999996
008,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1239,0.013328499999999998
009,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1231,0.0132485
010,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3747,3328,636,0.007299749999999999
011,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3752,3328,191,0.002856
012,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3755,3328,1194,0.012889749999999998
013,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3755,3328,847,0.00941975
014,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3749,3328,112,0.00206225
015,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3750,3328,1115,0.012093499999999998
016,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3750,3328,834,0.009283499999999998
017,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3751,3328,337,0.004314749999999999
018,gpt-5.4,gpt-5.4,medium,low,2,4,30,0,True,2,True,2,8623,7680,6503,0.06716875
019,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,14704,11008,8671,0.09270599999999998
020,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3752,3328,3489,0.035836
021,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3753,3328,3733,0.03827724999999999
022,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3756,3328,2657,0.027520999999999997
