bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1910,1792,2807,0.028441499999999998
002,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1910,1792,1264,0.013011499999999999
003,gpt-5.4-mini,1.0,10,0,True,medium,False,3,3,8059,3584,23675,0.24279175
004,gpt-5.4-mini,1.0,10,0,True,medium,True,2,2,4377,3584,7817,0.07960924999999999
005,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1910,1792,3055,0.030921499999999998
006,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1910,1792,4593,0.046301499999999995
007,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1910,1792,7015,0.07052149999999999
008,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1910,0,12649,0.12887749999999998
009,gpt-5.4-mini,1.0,10,0,True,medium,True,2,2,4993,3584,35498,0.35718925
010,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1911,1792,5951,0.05988274999999999
011,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1916,1792,1154,0.011918999999999999
012,gpt-5.4-mini,1.0,10,0,True,medium,True,2,2,4330,3584,19131,0.1926905
013,gpt-5.4-mini,1.0,10,0,True,medium,False,3,3,6255,5376,28274,0.28451075
014,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1913,1792,417,0.004545249999999999
015,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1914,1792,12460,0.12497649999999999
016,gpt-5.4-mini,1.0,10,0,True,medium,False,3,3,6391,5376,28018,0.28212075
017,gpt-5.4-mini,1.0,10,0,True,medium,True,1,1,1915,1792,491,0.005287749999999999
018,gpt-5.4-mini,1.0,10,0,True,medium,False,1,1,1919,1792,24202,0.24240274999999997
019,gpt-5.4-mini,1.0,10,0,True,medium,False,2,2,3838,3584,39601,0.39677549999999995
020,gpt-5.4-mini,1.0,10,0,True,medium,False,1,1,1916,1792,22223,0.22260899999999997
021,gpt-5.4-mini,1.0,10,0,True,medium,False,1,1,1917,1792,23896,0.23934024999999998
022,gpt-5.4-mini,1.0,10,0,True,medium,False,2,2,4508,3584,32285,0.324453
