bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,medium,low,9,3,12,0,True,0.2,True,5,15958,11136,777,0.015189499999999998
002,gpt-5.4,gpt-5.4-mini,medium,low,11,3,12,0,True,0.2,True,6,19976,17280,1512,0.020649999999999998
003,gpt-5.4,gpt-5.4-mini,medium,low,41,3,12,0,True,0.2,False,21,84519,62080,17329,0.20909874999999997
004,gpt-5.4,gpt-5.4-mini,medium,low,21,3,12,0,True,0.2,True,11,41479,27008,2456,0.04602475
005,gpt-5.4,gpt-5.4-mini,medium,low,11,3,12,0,True,0.2,True,6,20162,16768,1868,0.0250185
006,gpt-5.4,gpt-5.4-mini,medium,low,11,3,12,0,True,0.2,True,6,19987,17280,1526,0.020803749999999996
007,gpt-5.4,gpt-5.4-mini,medium,low,13,3,12,0,True,0.2,True,7,24136,19072,2123,0.029944
008,gpt-5.4,gpt-5.4-mini,medium,low,41,3,12,0,True,0.2,False,21,93397,66432,17904,0.22105025
009,gpt-5.4,gpt-5.4-mini,medium,low,43,3,12,0,True,0.2,False,22,93907,77568,17698,0.20709974999999997
010,gpt-5.4,gpt-5.4-mini,medium,low,15,3,12,0,True,0.2,True,8,27772,20096,1608,0.028186999999999997
011,gpt-5.4,gpt-5.4-mini,medium,low,3,3,12,0,True,0.2,True,2,4873,3968,545,0.007077249999999999
012,gpt-5.4,gpt-5.4-mini,medium,low,19,3,12,0,True,0.2,True,10,37451,27008,3534,0.05176974999999999
013,gpt-5.4,gpt-5.4-mini,medium,low,25,3,12,0,True,0.2,True,13,50571,39552,5081,0.06952775
014,gpt-5.4,gpt-5.4-mini,medium,low,3,3,12,0,True,0.2,True,2,4852,3968,381,0.005410999999999999
015,gpt-5.4,gpt-5.4-mini,medium,low,35,3,12,0,True,0.2,False,18,72571,53632,19444,0.22481774999999993
016,gpt-5.4,gpt-5.4-mini,medium,low,39,3,12,0,True,0.2,False,20,81104,56448,17627,0.214146
017,gpt-5.4,gpt-5.4-mini,medium,low,3,3,12,0,True,0.2,True,2,4882,3968,541,0.007048499999999999
018,gpt-5.4,gpt-5.4-mini,medium,low,59,3,12,0,True,0.2,False,30,133827,112000,16209,0.20337374999999996
019,gpt-5.4,gpt-5.4-mini,medium,low,89,3,12,0,True,0.2,False,45,200840,176256,15316,0.205922
020,gpt-5.4,gpt-5.4-mini,medium,low,51,3,12,0,True,0.2,False,26,110403,82304,15650,0.20191174999999995
021,gpt-5.4,gpt-5.4-mini,medium,low,45,3,12,0,True,0.2,False,23,102490,85120,16828,0.2006325
022,gpt-5.4,gpt-5.4-mini,medium,low,39,3,12,0,True,0.2,False,20,85460,72064,17503,0.20078299999999996
