path,bytes,sha256,role,status,headings,words
AGENTS.md,15924,fd3bb61512a557d05929eaf518abdb44969a0785f721a4c53abdf3243a31938a,narrative / provenance evidence,cited and selectively inspected,13,2099
CLAUDE.md,15924,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
HINTS.md,33704,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
PROGRESS.md,52080,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
README.md,4641,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
ace/__init__.py,28,0de814899b0a699b7f74ce8e78bc607050de3ff2e73d186c5389621c40ae3f7e,static implementation evidence,structure indexed,,
ace/ace_applicability.py,7515,aa6f541a766bb54e009e5de0e675a3afcb4ad2a6e870937fb79285b6f80ca003,static implementation evidence,structure indexed,,
ace/ace_dedup.py,7688,53f83ae87aac4b828d10e14e8b0ab11f9b2b8bd38c95fab4eb7667071db0c956,static implementation evidence,cited and selectively inspected,,
ace/ace_evidence.py,14846,186f8cf4834ec109e7a3b3a96b2e49a53946bcc35148f407950d55735a577b49,static implementation evidence,cited and selectively inspected,,
ace/ace_goal_visibility.py,5549,09595c9f312a1a337832b7b422d6b2870962e0b2941aec156ddd246b0d7504e4,static implementation evidence,cited and selectively inspected,,
ace/ace_grounded.py,16382,c9761c076d151134d6317c9071f31c62f0b5e60f81de5079dbdaa850c4f38daa,static implementation evidence,cited and selectively inspected,,
ace/ace_playbook.py,23275,f67df7375be53674daf2cd2ff58489e9d83b7d3ffb59a7f6147f07a43c99e6bf,static implementation evidence,cited and selectively inspected,,
ace/ace_repairs.py,12161,e8bc5a87249b83c581257d5d701c061865f34db71ede50d05df20f508d8cc48c,static implementation evidence,structure indexed,,
ace/ace_store.py,9715,a784e9530da3d74ea0dc76b506cde77a02407dc66da9741775cddf04f2d91e7a,static implementation evidence,cited and selectively inspected,,
ace/ace_triggers.py,18727,6a510b6fc8fc64136af667abd323ea8aaadad48e67483dcfdae4f7fcc74fb863,static implementation evidence,structure indexed,,
ace/ace_verified_snippets.py,5259,8d164b535c8556208943b6810df02bfe432ce6b8177517a613e33ab54754cca1,static implementation evidence,cited and selectively inspected,,
ace/change_progress.py,5405,d7bc5b68c26bfe65cb0fe00310833044f78a829863e3a3ba1bea6df76117237f,static implementation evidence,structure indexed,,
docs/CLOSED_HINTS.md,30180,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
docs/LINKS.md,2738,fbc0ad821ab333cc2eefdebb6eca8dfd4f9e55920c2316ba6044b4d12e89053c,narrative / provenance evidence,text indexed; corroborating source,1,304
docs/ace_review.md,13975,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
docs/thesis_decisions.md,19766,,"closed/mixed outcomes, conservative exclusion, or canonical symlink alias",excluded,,
docs/thesis_proposal.md,10934,3a01dfcad1394906578c778cc812b2740f20f55a677eee541d82118782cf2059,narrative / provenance evidence,cited and selectively inspected,7,1543
docs/usage.md,12618,0ea859afa8c04864a7951a6a2309a9156b515af6529dcfd222617c36680a7b9a,narrative / provenance evidence,text indexed; corroborating source,11,1667
experiments/ace/__init__.py,40,3805fc559e6f5bcce08192092d94f6a8c307d32019a74c98a277beeafe94fa55,static implementation evidence,structure indexed,,
experiments/ace/ace_adaptation.py,110711,e2797f018dec75be353679d8e004f5e5796f4a101e745b5dc817f31d2a0b8d6e,static implementation evidence,cited and selectively inspected,,
experiments/ace/ace_applicability_experiment.py,8042,558ff91a95bad30c72e67381de82a230e0448890869b943e5681612e731f37bb,static implementation evidence,structure indexed,,
experiments/ace/ace_attribution_experiment.py,25878,0f1aa1e979dfb919d2ddf4cb00275c2a6c056aadb7d458dea473e5d4ac038b9c,static implementation evidence,structure indexed,,
experiments/ace/ace_bounded_experiment.py,11903,3e37e30970686a49db66cc154ce0809e3eba33e9e7a0de5ece3e416278633c1d,static implementation evidence,structure indexed,,
experiments/ace/ace_capacity_experiment.py,27234,b47afcda2d83be958d6eb4bf4df4a56291f694cf6077f0484a6ce289bb1cf605,static implementation evidence,structure indexed,,
experiments/ace/ace_contender_benchmark.py,19017,5e1237d8224a00ff4df1cc38927178c903bf4c88a150705ee84a2fd1a266e3b2,static implementation evidence,structure indexed,,
experiments/ace/ace_control_cycle_experiment.py,5069,2cbd72a576f2a875f3d6963d5903ceaebdbee3f6dd6f6f914a1086e738dc60f2,static implementation evidence,structure indexed,,
experiments/ace/ace_mechanisms_experiment.py,23992,f969071096f4063c951218ec5868da485c441618ece1ef82c24681f0cd6f4642,static implementation evidence,structure indexed,,
experiments/ace/ace_models_experiment.py,21310,d8bd59b9c11a0b18f1d59041c391a97f903bda7e616a430ff862c5b9eb722127,static implementation evidence,structure indexed,,
