bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,medium,low,5,4,30,0,True,2,True,5,35696,17664,444,0.029188
002,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44085,41216,703,0.01576825
003,gpt-5.4,gpt-5.4,medium,low,13,4,30,0,True,2,True,13,105670,99456,1160,0.0317995
004,gpt-5.4,gpt-5.4,medium,low,14,4,30,0,True,2,True,14,114766,104192,2632,0.052561500000000004
005,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44203,32384,1146,0.030281749999999996
006,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44268,42112,1741,0.025368999999999996
007,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44203,40704,1348,0.022941749999999997
008,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,170928,148736,2975,0.076082
009,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,170840,150144,2998,0.07461799999999999
010,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,69986,65664,897,0.022580499999999996
011,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13930,12416,934,0.012784499999999999
012,gpt-5.4,gpt-5.4,medium,low,8,4,30,0,True,2,True,8,61846,57856,2823,0.04044949999999999
013,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,70575,65024,2360,0.03866675
014,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13894,12288,332,0.0068635
015,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,87846,78720,1358,0.03482749999999999
016,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,87833,75264,844,0.03355925
017,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13927,12288,1475,0.01833475
018,gpt-5.4,gpt-5.4,medium,low,22,4,30,0,True,2,True,22,187876,165888,10192,0.15014099999999997
019,gpt-5.4,gpt-5.4,medium,low,14,4,30,0,True,2,False,14,107121,91008,22004,0.25155724999999995
020,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,166879,146816,8368,0.12711074999999997
021,gpt-5.4,gpt-5.4,medium,low,13,4,30,0,True,2,True,13,106771,97408,5729,0.08116974999999998
022,gpt-5.4,gpt-5.4,medium,low,16,4,30,0,True,2,True,16,133977,121600,6649,0.09716124999999996
