arm,cell,theorem,seed,solved,qualified,failed,cost,input,cached,output,uncached_cost
agentic,validation__agentic__imo_1960_p2__seed0,imo_1960_p2,0,True,True,False,0.02062604,188467,136152,6200,0.0451334
agentic,validation__agentic__imo_1960_p2__seed1,imo_1960_p2,1,True,True,False,0.019627099999999998,125956,68825,5687,0.0320156
agentic,validation__agentic__aime_1991_p6__seed0,aime_1991_p6,0,False,False,False,0.0378135,127239,54115,18422,0.0475542
agentic,validation__agentic__aime_1991_p6__seed1,aime_1991_p6,1,False,False,False,0.03271258,243197,172969,12673,0.063847
agentic,validation__agentic__amc12a_2008_p4__seed0,amc12a_2008_p4,0,True,True,False,0.030917239999999995,142342,45722,8899,0.03914719999999999
agentic,validation__agentic__amc12a_2008_p4__seed1,amc12a_2008_p4,1,True,True,False,0.015116799999999998,99266,51720,3811,0.024426399999999997
agentic,validation__agentic__induction_prod1p1onk3le3m1onn__seed0,induction_prod1p1onk3le3m1onn,0,False,False,False,0.03993914,198133,87477,13382,0.055685
agentic,validation__agentic__induction_prod1p1onk3le3m1onn__seed1,induction_prod1p1onk3le3m1onn,1,False,False,False,0.039707980000000004,253205,142879,12321,0.0654262
agentic,validation__agentic__algebra_others_exirrpowirrrat__seed0,algebra_others_exirrpowirrrat,0,False,False,False,0.04146767999999999,466596,371264,12480,0.1082952
agentic,validation__agentic__algebra_others_exirrpowirrrat__seed1,algebra_others_exirrpowirrrat,1,False,False,False,0.03874687999999999,469132,368924,9439,0.10515319999999999
agentic,validation__agentic__mathd_algebra_190__seed0,mathd_algebra_190,0,True,True,False,0.00013556,3751,3748,50,0.0008101999999999999
agentic,validation__agentic__mathd_algebra_190__seed1,mathd_algebra_190,1,True,True,False,0.00058574,3751,2607,254,0.001055
agentic,validation__agentic__mathd_numbertheory_284__seed0,mathd_numbertheory_284,0,True,True,False,0.00038733999999999996,3785,2607,83,0.0008566
agentic,validation__agentic__mathd_numbertheory_284__seed1,mathd_numbertheory_284,1,True,True,False,0.00015544000000000002,3785,3782,66,0.0008361999999999999
agentic,validation__agentic__imo_1964_p2__seed0,imo_1964_p2,0,True,True,False,0.02150382,66099,22251,10241,0.025508999999999997
agentic,validation__agentic__imo_1964_p2__seed1,imo_1964_p2,1,False,False,False,0.041607719999999994,176064,57086,13892,0.05188319999999999
agentic,validation__agentic__aime_1984_p7__seed0,aime_1984_p7,0,True,True,False,0.03558,160614,57340,11482,0.0459012
agentic,validation__agentic__aime_1984_p7__seed1,aime_1984_p7,1,False,False,False,0.04311516,174972,75258,18056,0.05666159999999999
agentic,validation__agentic__amc12a_2013_p8__seed0,amc12a_2013_p8,0,True,True,False,0.0069260599999999995,32587,23003,3791,0.0110666
