bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1910,1792,1683,0.017201499999999998
002,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1910,1792,3472,0.03509149999999999
003,gpt-5.4,1.0,10,0,True,xhigh,True,2,2,4646,3584,27763,0.2794055
004,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1908,1792,3207,0.032438999999999996
005,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1910,1792,10163,0.10200149999999998
006,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1910,1792,3786,0.038231499999999995
007,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1910,1792,5212,0.05249149999999999
008,gpt-5.4,1.0,10,0,True,xhigh,True,2,2,4941,3584,22141,0.22355425
009,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1910,1792,30415,0.3045215
010,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1911,1792,7622,0.07659275
011,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1916,1792,1096,0.011338999999999998
012,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1919,1792,12424,0.12462274999999999
013,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1919,1792,8129,0.08167274999999999
014,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1913,1792,1072,0.01109525
015,gpt-5.4,1.0,10,0,True,xhigh,True,2,2,4544,3584,26240,0.26404799999999995
016,gpt-5.4,1.0,10,0,True,xhigh,False,2,2,4594,3584,25344,0.25515049999999995
017,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1915,1792,657,0.006947749999999999
018,gpt-5.4,1.0,10,0,True,xhigh,False,1,1,1919,1792,20898,0.20936274999999996
019,gpt-5.4,1.0,10,0,True,xhigh,False,1,1,1919,1792,20883,0.20921274999999998
020,gpt-5.4,1.0,10,0,True,xhigh,False,1,1,1916,1792,23804,0.23841899999999996
021,gpt-5.4,1.0,10,0,True,xhigh,False,1,1,1917,1792,30985,0.31023025
022,gpt-5.4,1.0,10,0,True,xhigh,True,1,1,1920,1792,28165,0.28203399999999995
