bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2655,2304,2267,0.02339675
002,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2655,2304,5057,0.051296749999999995
003,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2654,2304,19735,0.19807549999999996
004,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2653,2304,17861,0.17933425
005,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2655,0,4861,0.051928749999999996
006,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2655,2304,3227,0.03299675
007,gpt-5.4-mini,1.0,8,10,0,medium,True,4,13159,6912,24013,0.24880275
008,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2655,2304,20733,0.20805674999999998
009,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2655,2304,37225,0.37297674999999997
010,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2656,2304,10797,0.108698
011,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2661,2304,1176,0.01249425
012,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2664,2304,22015,0.22088799999999997
013,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2664,2304,12967,0.13040799999999997
014,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2658,2304,915,0.009880499999999999
015,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2659,2304,21721,0.21794175
016,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2659,2304,22996,0.23069174999999997
017,gpt-5.4-mini,1.0,2,10,0,medium,True,1,2660,2304,1355,0.014282999999999999
018,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2664,0,74006,0.74339
019,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2664,2304,55750,0.558238
020,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2661,2304,23337,0.23410424999999996
021,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2662,2304,37540,0.37613549999999996
022,gpt-5.4-mini,1.0,2,10,0,medium,False,1,2665,2304,34942,0.35015925
