bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-nano,medium,low,5,4,30,0,True,2,True,5,35708,18560,616,0.029914999999999997
002,gpt-5.4,gpt-5.4-nano,medium,low,6,4,30,0,True,2,True,6,44085,40320,975,0.01949625
003,gpt-5.4,gpt-5.4-nano,medium,low,13,4,30,0,True,2,True,13,105670,90880,1998,0.04982749999999999
004,gpt-5.4,gpt-5.4-nano,medium,low,16,4,30,0,True,2,True,16,132499,114560,6019,0.09693374999999999
005,gpt-5.4,gpt-5.4-nano,medium,low,6,4,30,0,True,2,True,6,44203,32384,1116,0.029981749999999998
006,gpt-5.4,gpt-5.4-nano,medium,low,7,4,30,0,True,2,True,7,52652,48256,1471,0.026237
007,gpt-5.4,gpt-5.4-nano,medium,low,7,4,30,0,True,2,True,7,53016,48256,1484,0.026822
008,gpt-5.4,gpt-5.4-nano,medium,low,20,4,30,0,True,2,True,20,170928,142336,4877,0.10230199999999999
009,gpt-5.4,gpt-5.4-nano,medium,low,20,4,30,0,True,2,True,20,170801,142336,4274,0.09611324999999998
010,gpt-5.4,gpt-5.4-nano,medium,low,9,4,30,0,True,2,True,9,69886,64128,1988,0.0350935
011,gpt-5.4,gpt-5.4-nano,medium,low,3,4,30,0,True,2,True,3,13930,12416,907,0.0125145
012,gpt-5.4,gpt-5.4-nano,medium,low,6,4,30,0,True,2,True,6,44823,40320,2184,0.032508749999999996
013,gpt-5.4,gpt-5.4-nano,medium,low,6,4,30,0,True,2,True,6,44538,40320,2777,0.03808249999999999
014,gpt-5.4,gpt-5.4-nano,medium,low,2,4,30,0,True,2,True,2,10900,9600,403,0.006855
015,gpt-5.4,gpt-5.4-nano,medium,low,11,4,30,0,True,2,True,11,87864,77952,2738,0.04951399999999999
016,gpt-5.4,gpt-5.4-nano,medium,low,11,4,30,0,True,2,True,11,87833,77952,1676,0.03885525
017,gpt-5.4,gpt-5.4-nano,medium,low,3,4,30,0,True,2,True,3,13936,12416,1268,0.016132
018,gpt-5.4,gpt-5.4-nano,medium,low,21,4,30,0,True,2,True,21,185827,164480,12202,0.16926375000000002
019,gpt-5.4,gpt-5.4-nano,medium,low,24,4,30,0,True,2,False,24,211753,178304,19366,0.25775925
020,gpt-5.4,gpt-5.4-nano,medium,low,20,4,30,0,True,2,True,20,166917,139136,9732,0.14943824999999994
021,gpt-5.4,gpt-5.4-nano,medium,low,17,4,30,0,True,2,True,17,143972,122496,6397,0.106127
022,gpt-5.4,gpt-5.4-nano,medium,low,17,4,30,0,True,2,True,17,137316,119424,11393,0.15122299999999997
