bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,2,10,0,high,True,1,2655,0,1124,0.014558749999999999
002,gpt-5.4,1.0,2,10,0,high,True,1,2655,0,1707,0.020388749999999997
003,gpt-5.4,1.0,4,10,0,high,True,2,6214,1792,15832,0.16407149999999998
004,gpt-5.4,1.0,2,10,0,high,True,1,2653,0,3668,0.03999625
005,gpt-5.4,1.0,2,10,0,high,True,1,2655,0,1864,0.021958749999999996
006,gpt-5.4,1.0,2,10,0,high,True,1,2655,0,3665,0.03996875
007,gpt-5.4,1.0,2,10,0,high,True,1,2655,2432,1920,0.019782749999999998
008,gpt-5.4,1.0,4,10,0,high,True,2,6519,1792,18443,0.19056274999999998
009,gpt-5.4,1.0,4,10,0,high,True,2,6738,1792,17204,0.17844649999999998
010,gpt-5.4,1.0,2,10,0,high,True,1,2656,0,3845,0.041769999999999995
011,gpt-5.4,1.0,2,10,0,high,True,1,2661,0,834,0.011666249999999998
012,gpt-5.4,1.0,2,10,0,high,True,1,2664,0,4546,0.04878999999999999
013,gpt-5.4,1.0,2,10,0,high,True,1,2664,2432,4242,0.043014
014,gpt-5.4,1.0,2,10,0,high,True,1,2658,0,438,0.007702499999999999
015,gpt-5.4,1.0,2,10,0,high,True,1,2659,0,8449,0.08781375
016,gpt-5.4,1.0,4,10,0,high,True,2,6156,4224,15639,0.159333
017,gpt-5.4,1.0,2,10,0,high,True,1,2660,0,726,0.010584999999999999
018,gpt-5.4,1.0,4,10,0,high,False,2,7014,4224,38299,0.3870055
019,gpt-5.4,1.0,2,10,0,high,False,1,2664,2432,30418,0.30477399999999993
020,gpt-5.4,1.0,4,10,0,high,True,2,6530,4224,32523,0.32864049999999995
021,gpt-5.4,1.0,4,10,0,high,True,2,6504,4224,25787,0.261248
022,gpt-5.4,1.0,4,10,0,high,False,2,6476,4224,30797,0.31131299999999995
