bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,10,0,True,low,True,4,4,9226,7680,3046,0.03335249999999999
002,gpt-5.4-mini,1.0,10,0,True,low,True,2,2,4300,1792,1045,0.013808999999999998
003,gpt-5.4-mini,1.0,10,0,True,low,False,21,21,138528,105728,15177,0.205986
004,gpt-5.4-mini,1.0,10,0,True,low,False,14,14,72001,48640,17556,0.21084125
005,gpt-5.4-mini,1.0,10,0,True,low,True,3,3,6230,3584,2934,0.0330955
006,gpt-5.4-mini,1.0,10,0,True,low,True,6,6,11729,10752,7603,0.07859525
007,gpt-5.4-mini,1.0,10,0,True,low,True,4,4,10160,7168,4682,0.051455999999999995
008,gpt-5.4-mini,1.0,10,0,True,low,False,17,17,59832,43264,17809,0.204208
009,gpt-5.4-mini,1.0,10,0,True,low,False,18,18,108026,79616,17181,0.21727449999999998
010,gpt-5.4-mini,1.0,10,0,True,low,False,11,11,38052,26880,18965,0.20697500000000002
011,gpt-5.4-mini,1.0,10,0,True,low,True,1,1,1916,1792,191,0.002289
012,gpt-5.4-mini,1.0,10,0,True,low,True,2,2,3838,1792,2223,0.0250115
013,gpt-5.4-mini,1.0,10,0,True,low,True,7,7,23183,13824,9148,0.10490675
014,gpt-5.4-mini,1.0,10,0,True,low,True,1,1,1913,1792,224,0.00261525
015,gpt-5.4-mini,1.0,10,0,True,low,False,11,11,32217,20736,19083,0.20777324999999996
016,gpt-5.4-mini,1.0,10,0,True,low,False,11,11,25665,19712,21914,0.22904524999999998
017,gpt-5.4-mini,1.0,10,0,True,low,True,1,1,1915,0,217,0.004563749999999999
018,gpt-5.4-mini,1.0,10,0,True,low,False,11,11,24851,19712,19619,0.20507774999999995
019,gpt-5.4-mini,1.0,10,0,True,low,False,15,15,79009,49664,17283,0.21571924999999997
020,gpt-5.4-mini,1.0,10,0,True,low,False,8,8,17802,14336,19529,0.20141449999999997
021,gpt-5.4-mini,1.0,10,0,True,low,False,10,10,54096,36352,17902,0.205744
022,gpt-5.4-mini,1.0,10,0,True,low,False,10,10,29000,20224,20113,0.21462799999999999
