bench_name,model_name,temperature,max_feedback_cycles,seed,loop,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,10,0,True,True,1,1,1910,1792,290,0.0032714999999999997
002,gpt-5.4,1.0,10,0,True,True,1,1,1910,1792,383,0.0042014999999999995
003,gpt-5.4,1.0,10,0,True,True,3,3,7884,7296,1948,0.021127
004,gpt-5.4,1.0,10,0,True,True,2,2,4603,4224,1287,0.013871749999999999
005,gpt-5.4,1.0,10,0,True,True,1,1,1910,1792,491,0.0052815
006,gpt-5.4,1.0,10,0,True,True,1,1,1910,1792,679,0.0071614999999999995
007,gpt-5.4,1.0,10,0,True,True,1,1,1910,1792,374,0.0041115
008,gpt-5.4,1.0,10,0,True,True,3,3,6690,6272,2229,0.0235965
009,gpt-5.4,1.0,10,0,True,True,11,11,50129,48128,7309,0.08160725
010,gpt-5.4,1.0,10,0,True,True,4,4,8812,8192,1544,0.017238999999999997
011,gpt-5.4,1.0,10,0,True,True,1,1,1916,1792,176,0.002139
012,gpt-5.4,1.0,10,0,True,True,4,4,11705,10880,2540,0.02779125
013,gpt-5.4,1.0,10,0,True,True,3,3,7242,6656,1507,0.016634499999999997
014,gpt-5.4,1.0,10,0,True,True,2,2,4042,1920,311,0.006002499999999999
015,gpt-5.4,1.0,10,0,True,False,63,63,237805,216064,14731,0.20149424999999996
016,gpt-5.4,1.0,10,0,True,False,52,52,198000,175872,15523,0.20487400000000006
017,gpt-5.4,1.0,10,0,True,True,1,1,1915,1792,186,0.0022377499999999997
018,gpt-5.4,1.0,10,0,True,False,27,27,146426,126592,16172,0.20233649999999997
019,gpt-5.4,1.0,10,0,True,False,30,30,211048,190336,15268,0.202362
020,gpt-5.4,1.0,10,0,True,False,32,32,220202,204544,16270,0.2078405
021,gpt-5.4,1.0,10,0,True,False,27,27,155950,133888,16189,0.20620349999999996
022,gpt-5.4,1.0,10,0,True,False,26,26,218055,201856,15878,0.20426075000000005
