bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,1792,2334,0.0237115
002,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,0,2171,0.024097499999999997
003,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1909,1792,6752,0.06789025
004,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1908,1792,4815,0.048519
005,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,1792,4790,0.048271499999999995
006,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,1792,5793,0.05830149999999999
007,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,1792,2656,0.026931499999999997
008,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,1792,9025,0.0906215
009,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1910,1792,10873,0.10910149999999999
010,gpt-5.4-nano,1.0,10,0,True,high,True,2,2,4144,3584,11616,0.11730799999999998
011,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1916,1792,2135,0.021729
012,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1919,1792,5102,0.05140275
013,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1919,0,3927,0.04166875
014,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1913,1792,2415,0.02452525
015,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1914,1792,11627,0.11664649999999999
016,gpt-5.4-nano,1.0,10,0,True,high,True,2,2,4407,3584,29574,0.29721675
017,gpt-5.4-nano,1.0,10,0,True,high,True,1,1,1915,1792,1569,0.01606775
018,gpt-5.4-nano,1.0,10,0,True,high,False,1,1,1919,0,22782,0.23021874999999997
019,gpt-5.4-nano,1.0,10,0,True,high,False,1,1,1919,1792,31743,0.31781275
020,gpt-5.4-nano,1.0,10,0,True,high,False,1,1,1916,1792,22509,0.22546899999999997
021,gpt-5.4-nano,1.0,10,0,True,high,False,2,2,4698,3584,49082,0.49266049999999995
022,gpt-5.4-nano,1.0,10,0,True,high,False,1,1,1920,1792,23278,0.23316399999999998
