bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,1792,6201,0.06238149999999999
002,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,1792,6267,0.06304149999999999
003,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1909,1792,40407,0.40444025
004,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1908,1792,14946,0.149829
005,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,0,24677,0.24915749999999998
006,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,1792,14336,0.14373149999999998
007,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,1792,16650,0.16687149999999998
008,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,1792,23489,0.23526149999999998
009,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1910,1792,31839,0.3187615
010,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1911,1792,38891,0.38928274999999996
011,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1916,1792,14632,0.14669899999999997
012,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1919,1792,27382,0.27420274999999994
013,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1919,1792,23908,0.23946274999999997
014,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1913,1792,3926,0.03963525
015,gpt-5.4-nano,1.0,10,0,True,xhigh,False,1,1,1914,1792,44450,0.44487649999999995
016,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1914,0,33212,0.3345125
017,gpt-5.4-nano,1.0,10,0,True,xhigh,True,1,1,1915,1792,6925,0.06962774999999999
018,gpt-5.4-nano,1.0,10,0,True,xhigh,False,1,1,1919,1792,66019,0.6605727499999999
019,gpt-5.4-nano,1.0,10,0,True,xhigh,False,1,1,1919,1792,64198,0.64236275
020,gpt-5.4-nano,1.0,10,0,True,xhigh,False,1,1,1916,1792,37556,0.37593899999999997
021,gpt-5.4-nano,1.0,10,0,True,xhigh,False,1,1,1917,0,68459,0.6869862499999999
022,gpt-5.4-nano,1.0,10,0,True,xhigh,False,1,1,1920,1792,47546,0.47584399999999993
