bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,medium,low,5,4,30,0,True,2,True,5,35696,34432,499,0.010874
002,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44085,43008,738,0.014102249999999998
003,gpt-5.4,gpt-5.4,medium,low,13,4,30,0,True,2,True,13,105670,99584,1132,0.031375499999999994
004,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,88562,79872,2104,0.0418865
005,gpt-5.4,gpt-5.4,medium,low,6,4,30,0,True,2,True,6,44203,42624,982,0.017121749999999998
006,gpt-5.4,gpt-5.4,medium,low,7,4,30,0,True,2,True,7,53016,48512,1138,0.023073999999999997
007,gpt-5.4,gpt-5.4,medium,low,7,4,30,0,True,2,True,7,53187,50432,1173,0.02147775
008,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,170928,157696,2887,0.065122
009,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,170833,154624,3013,0.06971925000000001
010,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,69880,67072,879,0.020683999999999998
011,gpt-5.4,gpt-5.4,medium,low,2,4,30,0,True,2,True,2,10943,10624,346,0.00518675
012,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,70563,64512,1382,0.029447749999999998
013,gpt-5.4,gpt-5.4,medium,low,9,4,30,0,True,2,True,9,70575,65408,2569,0.04032474999999999
014,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13899,12416,701,0.01041575
015,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,87846,83200,1817,0.03437749999999999
016,gpt-5.4,gpt-5.4,medium,low,11,4,30,0,True,2,True,11,87833,83968,867,0.023997249999999998
017,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,13918,11520,580,0.010237499999999998
018,gpt-5.4,gpt-5.4,medium,low,27,4,30,0,True,2,True,27,232987,207104,12367,0.18191175000000004
019,gpt-5.4,gpt-5.4,medium,low,35,4,30,0,True,2,True,35,315775,293504,13603,0.20055675000000003
020,gpt-5.4,gpt-5.4,medium,low,20,4,30,0,True,2,True,20,167191,151168,7547,0.11439475
021,gpt-5.4,gpt-5.4,medium,low,17,4,30,0,True,2,True,17,143849,132224,5488,0.08593925
022,gpt-5.4,gpt-5.4,medium,low,16,4,30,0,True,2,True,16,134126,120960,4127,0.07284749999999998
