bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-nano,medium,none,5,4,30,0,True,2,True,5,35702,33536,330,0.010199499999999998
002,gpt-5.4,gpt-5.4-nano,medium,none,6,4,30,0,True,2,True,6,44085,40320,755,0.01729625
003,gpt-5.4,gpt-5.4-nano,medium,none,15,4,30,0,True,2,True,15,123246,107648,1348,0.046433499999999996
004,gpt-5.4,gpt-5.4-nano,medium,none,76,4,30,0,True,2,False,76,700355,597376,4825,0.25164575
005,gpt-5.4,gpt-5.4-nano,medium,none,6,4,30,0,True,2,True,6,44203,40320,834,0.018233749999999996
006,gpt-5.4,gpt-5.4-nano,medium,none,7,4,30,0,True,2,True,7,52652,47360,876,0.021295
007,gpt-5.4,gpt-5.4-nano,medium,none,8,4,30,0,True,2,True,8,61514,55168,1042,0.0252485
008,gpt-5.4,gpt-5.4-nano,medium,none,64,4,30,0,True,2,False,64,562185,472192,8184,0.25335525
009,gpt-5.4,gpt-5.4-nano,medium,none,63,4,30,0,True,2,False,63,560662,467456,7709,0.25202949999999996
010,gpt-5.4,gpt-5.4-nano,medium,none,90,4,30,0,True,2,False,90,732953,650112,6532,0.25013525000000003
011,gpt-5.4,gpt-5.4-nano,medium,none,4,4,30,0,True,2,True,4,22272,19456,2237,0.028322
012,gpt-5.4,gpt-5.4-nano,medium,none,8,4,30,0,True,2,True,8,61877,55168,1464,0.029922249999999997
013,gpt-5.4,gpt-5.4-nano,medium,none,6,4,30,0,True,2,True,6,44652,41344,1045,0.019753
014,gpt-5.4,gpt-5.4-nano,medium,none,2,4,30,0,True,2,True,2,10905,9600,308,0.00591125
015,gpt-5.4,gpt-5.4-nano,medium,none,84,4,30,0,True,2,False,84,759525,656896,4157,0.25196825
016,gpt-5.4,gpt-5.4-nano,medium,none,11,4,30,0,True,2,True,11,87860,77952,734,0.029469000000000002
017,gpt-5.4,gpt-5.4-nano,medium,none,3,4,30,0,True,2,True,3,13918,11392,855,0.013131499999999997
018,gpt-5.4,gpt-5.4-nano,medium,none,46,4,30,0,True,2,False,46,420440,345472,11523,0.2521239999999999
019,gpt-5.4,gpt-5.4-nano,medium,none,69,4,30,0,True,2,False,69,658727,574208,7354,0.25096475
020,gpt-5.4,gpt-5.4-nano,medium,none,72,4,30,0,True,2,False,72,679605,593792,7155,0.25304024999999997
021,gpt-5.4,gpt-5.4-nano,medium,none,56,4,30,0,True,2,False,56,504648,423040,9556,0.25045
022,gpt-5.4,gpt-5.4-nano,medium,none,66,4,30,0,True,2,False,66,597057,499584,7676,0.26104924999999995
