bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,0,603,0.0084175
002,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,0,685,0.0092375
003,gpt-5.4,1.0,10,0,True,medium,True,2,2,4738,3584,3523,0.037120499999999994
004,gpt-5.4,1.0,10,0,True,medium,True,1,1,1908,1792,1293,0.013298999999999998
005,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,1792,889,0.009261499999999999
006,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,1792,802,0.0083915
007,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,1792,936,0.009731499999999999
008,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,1792,2250,0.0228715
009,gpt-5.4,1.0,10,0,True,medium,True,1,1,1910,1792,4573,0.04610149999999999
010,gpt-5.4,1.0,10,0,True,medium,True,1,1,1911,1792,1040,0.01077275
011,gpt-5.4,1.0,10,0,True,medium,True,1,1,1916,1792,461,0.0049889999999999995
012,gpt-5.4,1.0,10,0,True,medium,True,1,1,1919,1792,1860,0.01898275
013,gpt-5.4,1.0,10,0,True,medium,True,1,1,1919,1792,1637,0.01675275
014,gpt-5.4,1.0,10,0,True,medium,True,1,1,1913,1792,240,0.00277525
015,gpt-5.4,1.0,10,0,True,medium,True,4,4,12949,8192,21646,0.22343025
016,gpt-5.4,1.0,10,0,True,medium,True,2,2,4130,3584,3712,0.0382505
017,gpt-5.4,1.0,10,0,True,medium,True,1,1,1915,1792,335,0.0037277499999999997
018,gpt-5.4,1.0,10,0,True,medium,False,2,2,5264,3584,21336,0.215908
019,gpt-5.4,1.0,10,0,True,medium,False,4,4,16936,11264,32542,0.33391799999999994
020,gpt-5.4,1.0,10,0,True,medium,False,3,3,9624,6400,19773,0.20255999999999996
021,gpt-5.4,1.0,10,0,True,medium,True,4,4,14403,10240,18541,0.19189374999999997
022,gpt-5.4,1.0,10,0,True,medium,True,1,1,1920,1792,4439,0.044774
