bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,medium,low,5,4,30,0,True,2,True,5,35702,26496,428,0.0190995
002,gpt-5.4,gpt-5.4-mini,medium,low,6,4,30,0,True,2,True,6,44085,41856,709,0.015108249999999998
003,gpt-5.4,gpt-5.4-mini,medium,low,13,4,30,0,True,2,True,13,105670,96896,1465,0.037729499999999985
004,gpt-5.4,gpt-5.4-mini,medium,low,14,4,30,0,True,2,True,14,114658,105856,2486,0.049094499999999985
005,gpt-5.4,gpt-5.4-mini,medium,low,7,4,30,0,True,2,True,7,53016,47360,1334,0.02633
006,gpt-5.4,gpt-5.4-mini,medium,low,6,4,30,0,True,2,True,6,44203,41344,1198,0.020721749999999997
007,gpt-5.4,gpt-5.4-mini,medium,low,7,4,30,0,True,2,True,7,53016,48256,1118,0.023162000000000002
008,gpt-5.4,gpt-5.4-mini,medium,low,24,4,30,0,True,2,True,24,208167,169344,9130,0.16099675000000002
009,gpt-5.4,gpt-5.4-mini,medium,low,20,4,30,0,True,2,True,20,170551,150912,4111,0.08452275
010,gpt-5.4,gpt-5.4-mini,medium,low,8,4,30,0,True,2,True,8,61315,56192,2050,0.03392774999999999
011,gpt-5.4,gpt-5.4-mini,medium,low,3,4,30,0,True,2,True,3,13930,12032,1536,0.0192365
012,gpt-5.4,gpt-5.4-mini,medium,low,6,4,30,0,True,2,True,6,44685,32512,5056,0.06984024999999999
013,gpt-5.4,gpt-5.4-mini,medium,low,10,4,30,0,True,2,True,10,79207,69120,3184,0.05308875
014,gpt-5.4,gpt-5.4-mini,medium,low,3,4,30,0,True,2,True,3,13894,12416,766,0.0110595
015,gpt-5.4,gpt-5.4-mini,medium,low,13,4,30,0,True,2,True,13,105457,86528,2835,0.06282724999999999
016,gpt-5.4,gpt-5.4-mini,medium,low,11,4,30,0,True,2,True,11,87833,80128,1150,0.031147249999999994
017,gpt-5.4,gpt-5.4-mini,medium,low,2,4,30,0,True,2,True,2,10921,8704,409,0.007949249999999998
018,gpt-5.4,gpt-5.4-mini,medium,low,26,4,30,0,True,2,True,26,227558,192512,13069,0.19856149999999995
019,gpt-5.4,gpt-5.4-mini,medium,low,33,4,30,0,True,2,False,33,299209,262912,17376,0.25199524999999995
020,gpt-5.4,gpt-5.4-mini,medium,low,16,4,30,0,True,2,True,16,129643,104704,8746,0.13172175
021,gpt-5.4,gpt-5.4-mini,medium,low,22,4,30,0,True,2,True,22,184786,162304,8200,0.13039050000000002
022,gpt-5.4,gpt-5.4-mini,medium,low,13,4,30,0,True,2,True,13,106616,95872,10361,0.12902399999999997
