bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,2,10,0,low,True,1,2655,2432,671,0.00729275
002,gpt-5.4,1.0,2,10,0,low,True,1,2655,1792,899,0.01029275
003,gpt-5.4,1.0,2,10,0,low,True,1,2654,2432,2616,0.026741499999999998
004,gpt-5.4,1.0,4,10,0,low,True,2,6067,4864,3176,0.03387175
005,gpt-5.4,1.0,2,10,0,low,True,1,2655,2432,979,0.010372749999999998
006,gpt-5.4,1.0,2,10,0,low,True,1,2655,2432,1351,0.01409275
007,gpt-5.4,1.0,2,10,0,low,True,1,2655,2432,925,0.00983275
008,gpt-5.4,1.0,2,10,0,low,True,1,2655,2432,3992,0.04050275
009,gpt-5.4,1.0,2,10,0,low,True,1,2655,2432,2946,0.030042749999999997
010,gpt-5.4,1.0,4,10,0,low,True,2,5915,4224,3457,0.03721175
011,gpt-5.4,1.0,2,10,0,low,True,1,2661,2432,362,0.00421025
012,gpt-5.4,1.0,2,10,0,low,True,1,2664,2432,2659,0.027184
013,gpt-5.4,1.0,2,10,0,low,True,1,2664,2432,2842,0.029013999999999998
014,gpt-5.4,1.0,2,10,0,low,True,1,2658,2432,310,0.0036864999999999997
015,gpt-5.4,1.0,4,10,0,low,True,2,6142,4864,3544,0.0376455
016,gpt-5.4,1.0,46,10,0,low,False,23,156358,134656,16459,0.20854949999999997
017,gpt-5.4,1.0,2,10,0,low,True,1,2660,2432,415,0.004739
018,gpt-5.4,1.0,24,10,0,low,False,12,66046,50432,19198,0.21780149999999995
019,gpt-5.4,1.0,10,10,0,low,False,5,27777,18816,23850,0.25205324999999995
020,gpt-5.4,1.0,10,10,0,low,True,5,19948,12672,25534,0.266019
021,gpt-5.4,1.0,24,10,0,low,False,12,67752,52864,18098,0.20619799999999996
022,gpt-5.4,1.0,10,10,0,low,True,5,25588,17792,22902,0.24098899999999998
